vendor name,model name,MCYT,MMIN,MMAX,CACH,CACHE,CHMIN,CHMAX,PRP,SQRPERF,ERP,MAVG,CHCAP
amd,470v/7,29,8000,32000,3.2,32,8,32,269,16.40121947,253,20,7.24137931
amd,470v/7a,29,8000,32000,3.2,32,8,32,220,14.83239697,253,20,7.24137931
amd,470v/7b,29,8000,32000,3.2,32,8,32,172,13.11487705,253,20,7.24137931
amd,470v/7c,29,8000,16000,3.2,32,8,16,132,11.48912529,132,12,4.482758621
amd,470v/b,26,8000,32000,6.4,64,8,32,318,17.8325545,290,20,8.076923077
amd,580-5840,23,16000,32000,6.4,64,16,32,367,19.15724406,381,24,10.86956522
amd,580-5850,23,16000,32000,6.4,64,16,32,489,22.11334439,381,24,10.86956522
amd,580-5860,23,16000,64000,6.4,64,16,32,636,25.21904043,749,40,10.86956522
amd,580-5880,23,32000,64000,12.8,128,32,64,1144,33.82306905,1238,48,21.30434783
bur,b1955,167,524,2000,0.8,8,4,15,19,4.358898944,23,1.262,0.628742515
bur,b2900,143,512,5000,0,0,7,32,28,5.291502622,29,2.756,1.433566434
bur,b2925,143,1000,2000,0,0,5,16,31,5.567764363,22,1.5,0.804195804
bur,b4955,110,5000,5000,14.2,142,8,64,120,10.95445115,124,5,3.363636364
bur,b5900,143,1500,6300,0,0,5,32,30,5.477225575,35,3.9,1.363636364
bur,b5920,143,3100,6200,0,0,5,20,33,5.744562647,39,4.65,0.944055944
bur,b6900,143,2300,6200,0,0,6,64,61,7.810249676,40,4.25,2.517482517
bur,b6925,110,3100,6200,0,0,6,64,76,8.717797887,45,4.65,3.272727273
c.r.d,68/10-80,320,128,6000,0,0,1,12,23,4.795831523,28,3.064,0.234375
c.r.d,universe:2203t,320,512,2000,0.4,4,1,3,69,8.306623863,21,1.256,0.09375
c.r.d,universe:68,320,256,6000,0,0,1,6,33,5.744562647,28,3.128,0.140625
c.r.d,universe:68/05,320,256,3000,0.4,4,1,3,27,5.196152423,22,1.628,0.09375
c.r.d,universe:68/137,320,512,5000,0.4,4,1,5,77,8.774964387,28,2.756,0.125
c.r.d,universe:68/37,320,256,5000,0.4,4,1,6,27,5.196152423,27,2.628,0.140625
c.r.d,1636-1,50,1000,4000,0.8,8,3,5,26,5.099019514,30,2.5,1
c.r.d,1636-10,50,1000,8000,0.8,8,3,5,36,6,41,4.5,1
c.r.d,1641-1,50,2000,16000,0.8,8,3,5,40,6.32455532,74,9,1
c.r.d,1641-11,50,2000,16000,0.8,8,3,6,52,7.211102551,74,9,1.1
c.r.d,1651-1,50,2000,16000,0.8,8,3,6,60,7.745966692,74,9,1.1
cdc,cyber:170/750,25,1310,2620,13.1,131,12,24,274,16.55294536,102,1.965,7.6
cdc,cyber:170/760,25,1310,2620,13.1,131,12,24,368,19.18332609,102,1.965,7.6
cdc,cyber:170/815,50,2620,10480,3,30,12,24,32,5.656854249,74,6.55,3.8
cdc,cyber:170/825,50,2620,10480,3,30,12,24,63,7.937253933,74,6.55,3.8
cdc,cyber:170/835,56,5240,20970,3,30,12,24,106,10.29563014,138,13.105,3.392857143
cdc,cyber:170/845,64,5240,20970,3,30,12,24,208,14.4222051,136,13.105,2.96875
cdc,omega:480-i,50,500,2000,0.8,8,1,4,20,4.472135955,23,1.25,0.7
cdc,omega:480-ii,50,1000,4000,0.8,8,1,5,29,5.385164807,29,2.5,0.8
cdc,omega:480-iii,50,2000,8000,0.8,8,1,5,71,8.426149773,44,5,0.8
dec,decsys:10:1091,133,1000,12000,0.9,9,3,12,72,8.485281374,54,6.5,0.639097744
dec,decsys:20:2060,133,1000,8000,0.9,9,3,12,72,8.485281374,41,4.5,0.639097744
dec,microvax-1,810,512,512,0.8,8,1,1,18,4.242640687,18,0.512,0.024691358
dec,vax:11/730,810,1000,5000,0,0,1,1,20,4.472135955,28,3,0.024691358
dec,vax:11/750,320,512,8000,0.4,4,1,5,40,6.32455532,36,4.256,0.125
dec,vax:11/780,200,512,8000,0.8,8,1,8,62,7.874007874,38,4.256,0.275
dg,eclipse:c/350,700,384,8000,0,0,1,1,24,4.898979486,34,4.192,0.028571429
dg,eclipse:m/600,700,256,2000,0,0,1,1,24,4.898979486,19,1.128,0.028571429
dg,eclipse:mv/10000,140,1000,16000,1.6,16,1,3,138,11.74734012,72,8.5,0.214285714
dg,eclipse:mv/4000,200,1000,8000,0,0,1,2,36,6,36,4.5,0.125
dg,eclipse:mv/6000,110,1000,4000,1.6,16,1,2,26,5.099019514,30,2.5,0.227272727
dg,eclipse:mv/8000,110,1000,12000,1.6,16,1,2,60,7.745966692,56,6.5,0.227272727
dg,eclipse:mv/8000-ii,220,1000,8000,1.6,16,1,2,71,8.426149773,42,4.5,0.113636364
dg,eclipse:mv/100,800,256,8000,0,0,1,4,12,3.464101615,34,4.128,0.04375
dg,feclipse:mv/200,800,256,8000,0,0,1,4,14,3.741657387,34,4.128,0.04375
dg,eclipse:mv/200ap,800,256,8000,0,0,1,4,20,4.472135955,34,4.128,0.04375
dg,eclipse:mv/300,800,256,8000,0,0,1,4,16,4,34,4.128,0.04375
dg,eclipse:mv/300ap,800,256,8000,0,0,1,4,22,4.69041576,34,4.128,0.04375
hwell,100,300,768,3000,0,0,6,24,36,6,23,1.884,0.533333333
hwell,300,300,768,3000,0.6,6,6,24,44,6.633249581,25,1.884,0.533333333
hwell,500,300,768,12000,0.6,6,6,24,50,7.071067812,52,6.384,0.533333333
hwell,600,300,768,4500,0,0,1,24,45,6.708203932,27,2.634,0.45
hwell,700,300,384,12000,0.6,6,1,24,53,7.280109889,50,6.192,0.45
hwell,80,300,192,768,0.6,6,6,24,36,6,18,0.48,0.533333333
hwell,800,180,768,12000,0.6,6,1,31,84,9.16515139,53,6.384,0.944444444
hwell,dps:6/35,330,1000,3000,0,0,2,4,16,4,23,2,0.121212121
hwell,dps:6/92,300,1000,4000,0.8,8,3,64,38,6.164414003,30,2.5,1.15
hwell,dps:6/96,300,1000,16000,0.8,8,2,112,38,6.164414003,73,8.5,1.933333333
hwell,dps:7/35,330,1000,2000,0,0,1,2,16,4,20,1.5,0.075757576
hwell,dps:7/45,330,1000,4000,0,0,3,6,22,4.69041576,25,2.5,0.166666667
hwell,dps:7/55,140,2000,4000,0,0,3,6,29,5.385164807,28,3,0.392857143
hwell,dps:7/65,140,2000,4000,0,0,4,8,40,6.32455532,29,3,0.5
hwell,dps:8/44,140,2000,4000,0.8,8,1,20,35,5.916079783,32,3,0.821428571
hwell,dps:8/49,140,2000,32000,3.2,32,1,20,134,11.5758369,175,17,0.821428571
hwell,dps:8/50,140,2000,8000,3.2,32,1,54,66,8.124038405,57,5,2.035714286
hwell,dps:8/52,140,2000,32000,3.2,32,1,54,141,11.87434209,181,17,2.035714286
hwell,dps:8/62,140,2000,32000,3.2,32,1,54,189,13.74772708,181,17,2.035714286
hwell,dps:8/20,140,2000,4000,0.8,8,1,20,22,4.69041576,32,3,0.821428571
hp,3000/30,90,256,1000,0,0,3,10,17,4.123105626,18,0.628,0.833333333
hp,3000/40,105,256,2000,0,0,3,10,26,5.099019514,20,1.128,0.714285714
hp,3000/44,105,1000,4000,0,0,3,24,32,5.656854249,28,2.5,1.380952381
hp,3000/48,105,2000,4000,0.8,8,3,19,32,5.656854249,33,3,1.142857143
hp,3000/64,75,2000,8000,0.8,8,3,24,62,7.874007874,47,5,1.933333333
hp,3000/88,75,3000,8000,0.8,8,3,48,64,8,54,5.5,3.533333333
hp,3000/iii,175,256,2000,0,0,3,24,22,4.69041576,20,1.128,0.828571429
ibm,3033:s,57,4000,16000,0.1,1,6,12,132,11.48912529,82,10,1.754385965
ibm,3033:u,57,4000,24000,6.4,64,12,16,237,15.39480432,171,14,2.631578947
ibm,3081,26,16000,32000,6.4,64,16,24,465,21.56385865,361,24,8.076923077
